"No.","Time","Source","Destination","Protocol","Length","SAC, System Area Code","SIC, System Identification Code","Service Identification","LAT, Latitude, [\302\260]","LON, Longitude, [\302\260]","Target Address","Time of Message Reception for Position, [s]","Geometric Height, [ft]","NUCRNACV, Navigation Uncertainty Category for Velocity NUCr or the Navigation Accuracy Category for Velocity NACv","NUCPNIC, Navigation Uncertainty Category for Position NUCp or Navigation Integrity Category NIC","NICBARO, Navigation Integrity Category for Barometric Altitude","SIL, Surveillance (version 1) or Source (version 2) Integrity Level","NACP, Navigation Accuracy Category for Position","SILS, SIL-Supplement","SDA, Horizontal Position System Design Assurance Level (as Defined in Version 2)","GVA, Geometric Altitude Accuracy","PIC, Position Integrity Category","SRC, Source of the PIC","VN, Version Number","LTT, Link Technology Type","MODE3A, Mode-3/A Reply in Octal Representation","Flight Level, [FL]","BVR, Barometric Vertical Rate, [ft/min]","Target Identification","GS, Ground Speed Referenced to WGS-84, [NM/s]","TA, Track Angle Clockwise Reference to True North, [\302\260]","Emitter Category","ALT, Altitude, [ft]","Message Amplitude, [dBm]","Info"
"880","2025-10-15 05:29:50.176334Z","10.41.201.3","224.41.192.32","ASTERIX","110","0x84","0x33","0x0a","5.223913192749023","102.7081561088562","0x75021d","19234.4609375","38325","0","7","0","0","0","Measured per flight-hour","0","0","11","PIC mapped from FTC and NIC Supplements","ED102/DO-260 [Ref. 7]","1090 ES","","360","","MAS755  ","0.1298828125","208.2073974609375","No ADS-B Emitter Category Information","","-79",""
"881","2025-10-15 05:29:50.181494Z","10.41.201.3","224.41.192.32","ASTERIX","110","0x84","0x33","0x0a","8.64473819732666","99.16244745254517","0x8832d0","19234.46875","16975","0","7","0","0","0","Measured per flight-hour","0","0","11","PIC mapped from FTC and NIC Supplements","ED102/DO-260 [Ref. 7]","1090 ES","","161.25","","TLM807  ","0.10699462890625","4.6142578125","No ADS-B Emitter Category Information","","-83",""
"882","2025-10-15 05:29:50.358337Z","10.41.201.3","224.41.192.32","ASTERIX","121","0x84","0x33","0x0a","8.494470119476318","101.28471851348877","0x781dd7","19234.640625","37250","1","8","1","3","9","Measured per flight-hour","3","2","11","PIC mapped from FTC and NIC Supplements","ED102A/DO-260B [Ref. 10]","1090 ES","855","350","0","CCA403  ","0.12872314453125","195.2655029296875","75000 lbs < medium a/c < 300000 lbs","35000","-74",""
"883","2025-10-15 05:29:50.420582Z","10.41.201.3","224.41.192.32","ASTERIX","119","0x84","0x33","0x0a","9.320311546325684","99.40539121627808","0x789292","19234.703125","30650","2","8","1","3","9","Measured per flight-hour","3","2","11","PIC mapped from FTC and NIC Supplements","ED102A/DO-260B [Ref. 10]","1090 ES","3176","288","706.25","CPA770  ","0.13031005859375","17.6220703125","75000 lbs < medium a/c < 300000 lbs","35000","-84",""
"884","2025-10-15 05:29:50.430964Z","10.41.201.3","224.41.192.32","ASTERIX","110","0x84","0x33","0x0a","8.387739658355713","99.17032241821289","0x880452","19234.71875","23125","0","6","0","0","0","Measured per flight-hour","0","0","10","PIC mapped from FTC and NIC Supplements","ED102/DO-260 [Ref. 7]","1090 ES","","218.25","","AIQ9161 ","0.11004638671875","69.9169921875","No ADS-B Emitter Category Information","","-75",""
"885","2025-10-15 05:29:50.502328Z","10.41.201.3","224.41.192.32","ASTERIX","97","0x84","0x33","0x0a","6.936342716217041","100.39523363113403","0xadf025","19234.796875","","0","8","0","0","11","Measured per flight-hour","0","0","11","PIC mapped from FTC and NIC Supplements","DO-260A [Ref. 8]","1090 ES","","","","SITEMON ","","","Surface service vehicle","","-33",""
"886","2025-10-15 05:29:50.713392Z","10.41.201.3","224.41.192.32","ASTERIX","120","0x84","0x33","0x0a","8.151147365570068","101.06385469436646","0x76d101","19235","31275","4","8","1","3","9","Measured per flight-hour","2","2","11","PIC mapped from FTC and NIC Supplements","ED102A/DO-260B [Ref. 10]","1090 ES","3197","294.25","1218.75","TGW643  ","0.122314453125","151.8035888671875","75000 lbs < medium a/c < 300000 lbs","31000","-76",""
"887","2025-10-15 05:29:50.744133Z","10.41.201.3","224.41.192.32","ASTERIX","121","0x84","0x33","0x0a","5.152587890625","100.14402866363525","0x750518","19235.03125","8175","1","8","1","3","9","Measured per flight-hour","2","2","11","PIC mapped from FTC and NIC Supplements","ED102A/DO-260B [Ref. 10]","1090 ES","2877","78.75","2818.75","AXM6125 ","0.06719970703125","224.329833984375","75000 lbs < medium a/c < 300000 lbs","15000","-85",""
"888","2025-10-15 05:29:50.945617Z","10.41.201.3","224.41.192.32","ASTERIX","121","0x84","0x33","0x0a","7.230827808380127","100.34193277359009","0x7502d9","19235.2265625","36200","1","8","1","3","9","Measured per flight-hour","2","2","11","PIC mapped from FTC and NIC Supplements","ED102A/DO-260B [Ref. 10]","1090 ES","1104","340","-62.5","MXD164  ","0.1260986328125","359.6209716796875","75000 lbs < medium a/c < 300000 lbs","34025","-72",""
"889","2025-10-15 05:29:51.015053Z","10.41.201.3","224.41.192.32","ASTERIX","110","0x84","0x33","0x0a","5.413599014282227","102.0693826675415","0x7500e4","19235.3046875","24575","0","6","0","0","0","Measured per flight-hour","0","0","10","PIC mapped from FTC and NIC Supplements","ED102/DO-260 [Ref. 7]","1090 ES","","232","","AXM6991 ","0.11834716796875","185.5206298828125","No ADS-B Emitter Category Information","","-86",""
